ASSET REGISTRY TEMPLATE,,,,,,,,,,,,,,,,,,,,,,
Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Manufacturer,Model,Serial Number,Specification,Property Number,Unit of Measure,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks,Center Manager
DO,Marikina City,Machinery and Equipment,Office Equipment,1060502000,Television,Xitrix,Xitrix 55-inch LED Display,155HV435-001182,"55"" Full HD LEDTV, 2HDMI, 1USB, SuperSlim Design",55161,piece,Beyond economic repair,Asset is Owned by LGU,"34,500.00",07/21/2015,5,Mila M. Casilao,Kapitan Moy Elementary School,Supply Room,201A,,Jomar M. Basijan
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,School Building,N/A,BF Building,N/A,18 Classrooms,35173,piece,Operational and in good condition,Asset is Owned by LGU,"10,368,000.00",01/01/2000,5,Mila M. Casilao,Kapitan Moy Elementary School,Office of the Principal,101,,Mary Grace C. Pagatpat
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Computer,Dell,Vostro,2LX2B92,"DELL VOSTRO 3900 WITH DELL E1916HV 18.5"" WLED MONITOR",58912,set,Operational but needs repair,Asset is Owned by LGU,"45,000.00",07/21/2015,5,Mila M. Casilao,Kapitan Moy Elementary School,ICT Room,202,,Arjel A. Bacat
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Computer,Dell,Vostro,2LTY992,"DELL VOSTRO 3900 WITH DELL E1916HV 18.5"" WLED MONITOR",58910,set,Operational but needs repair,Asset is Owned by LGU,"45,000.00",07/21/2015,5,Mila M. Casilao,Kapitan Moy Elementary School,ICT Room,202,,Arjel A. Bacat
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Computer,Dell,Vostro,2MT2B92,"DELL VOSTRO 3900 WITH DELL E1916HV 18.5"" WLED MONITOR",58914,set,Operational but needs repair,Asset is Owned by LGU,"45,000.00",07/21/2015,5,Mila M. Casilao,Kapitan Moy Elementary School,ICT Room,202,,Arjel A. Bacat
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Computer,Dell,Vostro,2MPV992,"DELL VOSTRO 3900 WITH DELL E1916HV 18.5"" WLED MONITOR",58906,set,Operational but needs repair,Asset is Owned by LGU,"45,000.00",07/21/2015,5,Mila M. Casilao,Kapitan Moy Elementary School,ICT Room,202,,Arjel A. Bacat
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Plaque Model,N/A,N/A,N/A,Interior of the Earth,10-0032510,piece,Operational and in good condition,Asset is Owned by LGU,"20,802.85",12/31/2010,5,Mila M. Casilao,Kapitan Moy Elementary School,Science Room (Supply Room),201A,,Ma. Sabina J. Bandayrel
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Plaque Model,N/A,N/A,N/A,The Volcanic System,10-0032508,piece,Operational and in good condition,Asset is Owned by LGU,"20,802.85",12/31/2010,5,Mila M. Casilao,Kapitan Moy Elementary School,Science Room (Supply Room),201A,,Ma. Sabina J. Bandayrel
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Plaque Model,N/A,N/A,N/A,The Volcanic System,10-0032507,piece,Operational and in good condition,Asset is Owned by LGU,"20,802.85",12/31/2010,5,Mila M. Casilao,Kapitan Moy Elementary School,Science Room (Supply Room),201A,,Ma. Sabina J. Bandayrel
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Plaque Model,N/A,N/A,N/A,Interior of the Earth,10-0032509,piece,Operational and in good condition,Asset is Owned by LGU,"20,802.85",12/31/2010,5,Mila M. Casilao,Kapitan Moy Elementary School,Science Room (Supply Room),201A,,Ma. Sabina J. Bandayrel
