ASSET REGISTRY TEMPLATE,,,,,,,,,,,,,,,,,,,,,,
Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Manufacturer,Model,Serial Number,Specification,Unit of Measure,Property Number,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks,Center Manager
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Preparatio table w/ sink &shelves,IZER gen. merchandise,Not applicable,Not Applicable,Preparatio table w/ sink &shelves,,63803,Operational and in good condition,Asset is Owned by LGU," 24,800.00 ",03/09/2017,5,Star Angel o. Siason,Fortune High School,Food Laboratory,BF1 - 2,Bread and Pastry production / SHS,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Bain marie table w/ 4 compartments,Not applicable,Not applicable,Not Applicable,Bain marie table w/ 4 compartments,,63793,Operational and in good condition,Asset is Owned by LGU," 12,500.00 ",03/09/2017,5,Star Angel o. Siason,Fortune High School,Food Laboratory,BF1 - 2,Bread and Pastry production / SHS,
DO,Marikina City,Machinery and Equipment,Office Equipment,1060502000,DVD player,Not applicable,Not applicable,Not Applicable,DVD player,,63773,Operational and in good condition,Asset is Owned by LGU," 4,800.00 ",03/09/2017,5,Star Angel o. Siason,Fortune High School,Food Laboratory,BF1 - 2,Bread and Pastry production / SHS,
DO,Marikina City,Machinery and Equipment,Office Equipment,1060502000,Television,Not applicable,Not applicable,Not Applicable,Television,,63763,Operational and in good condition,Asset is Owned by LGU," 21,850.00 ",03/09/2017,5,Star Angel o. Siason,Fortune High School,Food Laboratory,BF1 - 2,Bread and Pastry production / SHS,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Filing cabinet 3 layer,Not applicable,Not applicable,Not Applicable,Filing cabinet 3 layer,,63753,Operational and in good condition,Asset is Owned by LGU," 4,250.00 ",03/09/2017,5,Star Angel o. Siason,Fortune High School,Food Laboratory,BF1 - 2,Bread and Pastry production / SHS,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Working table,Not applicable,Not applicable,Not Applicable,Working table,,63713,Operational and in good condition,Asset is Owned by LGU," 12,500.00 ",03/09/2017,5,Star Angel o. Siason,Fortune High School,Food Laboratory,BF1 - 2,Bread and Pastry production / SHS,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Chiller Fujidenzo,Not applicable,Not applicable,Not Applicable,Chiller Fujidenzo,,63694,Operational and in good condition,Asset is Owned by LGU," 51,600.00 ",03/09/2017,5,Star Angel o. Siason,Fortune High School,Food Laboratory,BF1 - 2,Bread and Pastry production / SHS,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Upright freezer  Panasonic,Not applicable,Not applicable,Not Applicable,Upright freezer  Panasonic,,63687,Operational and in good condition,Asset is Owned by LGU," 23,900.00 ",03/09/2017,5,Star Angel o. Siason,Fortune High School,Food Laboratory,BF1 - 2,Bread and Pastry production / SHS,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Food processor,Not applicable,Not applicable,Not Applicable,Food processor,,63673,Operational and in good condition,Asset is Owned by LGU," 15,000.00 ",03/09/2017,5,Star Angel o. Siason,Fortune High School,Food Laboratory,BF1 - 2,Bread and Pastry production / SHS,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Refrigerator fujidenzo,Not applicable,Not applicable,Not Applicable,Refrigerator fujidenzo,,63680,Operational and in good condition,Asset is Owned by LGU," 16,750.00 ",03/09/2017,5,Star Angel o. Siason,Fortune High School,Food Laboratory,BF1 - 2,Bread and Pastry production / SHS,
