ASSET REGISTRY TEMPLATE,,,,,,,,,,,,,,,,,,,,,,,
Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Manufacturer,Model,Serial Number,Specification,Property Number,Unit of Measure,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks,Center Manager,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Gas Range,Fujidenzo,NA,NA,"with oven,2 burner gas, 1 electric burner",63724,piece,Operational and in good condition,Asset is Owned by LGU,"18,500.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Gas Range,White Westhing house,NA,NA,"With oven, black , 3 burnergas ",63734,piece,Operational and in good condition,Asset is Owned by LGU,"26,200.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Refrigerator,Fujidenzo,NA,NA,two-door,63676,piece,Operational and in good condition,Asset is Owned by LGU,"16,750.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Refrigerator,Fujidenzo,NA,NA,two-door,63704,piece,Operational and in good condition,Asset is Owned by LGU,"16,750.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Upright Freezer,Panasonic,NR-A1003FTG,NA,single door,63689,piece,Operational and in good condition,Asset is Owned by LGU,"51,600.00",NA,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,LED TV,EZY,LED32D306,NA,black,63764,piece,Operational and in good condition,Asset is Owned by LGU,"21,850.00",NA,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Bread display showcase,NA,NA,NA,glass type,63528/63529,piece,Operational and in good condition,Asset is Owned by LGU,"34,500.00",NA,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Bread display showcase,NA,NA,NA,glass type,63528/63529,piece,Operational and in good condition,Asset is Owned by LGU,"34,500.00",NA,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Table,NA,NA,NA,preparation table with sink,63804,piece,Operational and in good condition,Asset is Owned by LGU,"24,800.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Mixer,NA,NA,NA,commercial with attachments,16-0063486,piece,Operational and in good condition,Asset is Owned by LGU,"26,000.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Mixer,NA,NA,NA,commercial with attachments,16-0063487,piece,Operational and in good condition,Asset is Owned by LGU,"26,000.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Mixer,NA,NA,NA,spiral,16-0063514,piece,Operational and in good condition,Asset is Owned by LGU,"34,500.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Mixer,NA,NA,NA,spiral,16-0063515,piece,Operational and in good condition,Asset is Owned by LGU,"34,500.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Mixer,NA,NA,NA,planetary for dough,16-0063500,piece,Operational and in good condition,Asset is Owned by LGU,"21,500.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Mixer,NA,NA,NA,planetary for dough,16-0063501,piece,Operational and in good condition,Asset is Owned by LGU,"21,500.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Bread Slicer,NA,NA,NA,industrial,16-063570,piece,Operational and in good condition,Asset is Owned by LGU,"33,500.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Bread Slicer,NA,NA,NA,industrial,16-063571,piece,Operational and in good condition,Asset is Owned by LGU,"33,500.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
