Article,Description,Stock Number,Unit of Mesure,Unit Value,Balance Per Card,On Hand Per Count,Shortage/Overage,Remarks
Electric Fan,Wall Mounted (standard),Soc-3-221-3,pc.,700,,,,
Electric Fan,,Soc-3-221-4,pc.,600,1,,,
Furniture & Fixture,Teacher's Table ,Soc-3-222-9-19,pc.,1200,12,12,14400,
Furniture & Fixture,ordinary chair (green plastic),,,,2,,,
Furniture & Fixture,chair ( cream),Soc-3-222-25,pc.,300,1,,,
Furniture & Fixture,ordinary chair (white plastic),,pc.,300,,,,
furniture & Fixture,ordinary chair (stool),Soc-3-222-26,pc.,,,,,
Audio Visual,TV set (Sanyo),,,5000,1,,,
Electric Fan,ceiling fan,Soc-3-221-30,pc.,,,,,
Electric Fan,,Soc-3-221-31,pc.,,1,,,
Electric Fan,Wall Mounted (standard),Soc-3-221-32,pc.,,1,,,
Audio,,Soc-3-221-33,pc.,,,,,
,Epson L360,,pc.,7000,1,,,
Furniture & Fixture,Wooden Chair w/ steel,,pc.,,1,,,
